Pond,Date,Week,Block,Rep,Dreisse,Macrophytes,Nutrients,TreatNR,Treatment,pH,TN,orthoP,TP,Nitrate,Temperature,O2,Turbidity,CHL,TED,CtoN,CtoP,c_Cyanobacteria,c_Golden_algae,c_Diatoms,c_Dinoflagellates,c_Cryptophytes,c_Green_algae,c_Achnthaceae,c_Aphanocapsa,c_Asterionella,c_Bicosoeca,c_Carteria,c_Chlamydomos,c_Chroococus,c_Coelastrum_1,c_Coelastrum_2,c_Coelastrum_3,c_Cosmarium_1,c_Cosmarium_2,c_Cryptomos,c_Cyclotella_1,c_Cyclotella_2,c_Diatoma,c_Elakatothrix,c_Erkenia,c_Gomphosphaeria,c_Gymnodinium,c_Haematococcaceae,c_Katablepharis,c_Kirchneriella,c_Lagerheimia_1,c_Lagerheimia_2,c_Leptothrix,c_Mallomos,c_Monoraphidium,c_Nephrocitium,c_Nitzschia,c_Oocystis_1,c_Oocystis_2,c_Pediastrum,c_Peridinium,c_Phacotus,c_Phormidium,c_Pseudoabae,c_Rayssiella,c_Rhodomos,c_Scenedesmus_1,c_Scenedesmus_2,c_Scenedesmus_3,c_Scenedesmus_4,c_Spiruli,c_Stephanodiscus_1,c_Stephanodiscus_2,c_Stephanodiscus_3,c_Synechococcales,c_Synedra_1,c_Synedra_2,c_Synedra_3,c_Tetraedron,c_Willea,c_Unknown_1,c_Unknown_2,c_Unknown_3,c_Unknown_4,c_Unknown_5,c_Unknown_6,c_Unknown_7,c_Unknown_8,c_Unknown_9,c_Unknown_10,c_Unkonwn_11,c_Unknown_12,c_Unknown_13,c_Keratella,c_Others,v_Cyanobacteria,v_Golden_algae,v_Diatoms,v_Dinoflagellates,v_Cryptophytes,v_Green_algae,v_Achnthaceae,v_Aphanocapsa,v_Asterionella,v_Bicosoeca,v_Carteria,v_Chlamydomos,v_Chroococus,v_Coelastrum_1,v_Coelastrum_2,v_Coelastrum_3,v_Cosmarium_1,v_Cosmarium_2,v_Cryptomos,v_Cyclotella_1,v_Cyclotella_2,v_Diatoma,v_Elakatothrix,v_Erkenia,v_Gomphosphaeria,v_Gymnodinium,v_Haematococcaceae,v_Katablepharis,v_Kirchneriella,v_Lagerheimia_1,v_Lagerheimia_2,v_Leptothrix,v_Mallomos,v_Monoraphidium,v_Nephrocitium,v_Nitzschia,v_Oocystis_1,v_Oocystis_2,v_Pediastrum,v_Peridinium,v_Phacotus,v_Phormidium,v_Pseudoabae,v_Rayssiella,v_Rhodomos,v_Scenedesmus_1,v_Scenedesmus_2,v_Scenedesmus_3,v_Scenedesmus_4,v_Spiruli,v_Stephanodiscus_1,v_Stephanodiscus_2,v_Stephanodiscus_3,v_Synechococcales,v_Synedra_1,v_Synedra_2,v_Synedra_3,v_Tetraedron,v_Willea,v_Unknown_1,v_Unknown_2,v_Unknown_3,v_Unknown_4,v_Unknown_5,v_Unknown_6,v_Unknown_7,v_Unknown_8,v_Unknown_9,v_Unknown_10,v_Unkonwn_11,v_Unknown_12,v_Unknown_13,Daphnia_adult,Copepod_adult
3B,8/15/2016,6,3,2,0,0,0,5,O,8.3,0.25,0.5,3.7,0.125,22.9,107.2,0.6,2.052439024,0.263854643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C,8/15/2016,6,3,3,0,0,0,5,O,8.48,0.25,0.5,5.1,0.125,23.8,118.6,0.7,2.254573171,0.195284222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,8/15/2016,6,3,2,0,1,1,1,M,8.68,0.25,0.5,8,0.125,23.7,137.1,0.4,2.902439024,0.236049142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A,8/15/2016,6,4,2,1,0,1,2,D,8.26,0.61,0.5,10.8,0.341,23.4,106.2,0.9,1.865853659,0.267508147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B,8/15/2016,6,4,3,1,1,1,3,MD,8.88,0.25,1.5,14.2,0.259,23.9,149.6,1.5,18.9902439,0.307083693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C,8/15/2016,6,4,3,1,0,1,2,D,8.43,0.25,0.5,10.4,0.125,23.6,113.7,0.5,2.583489681,0.476619024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,8/15/2016,6,4,4,1,1,1,3,MD,8.55,0.6824,0.5,12.8,0.499,23.9,122.5,0.7,5.645403377,0.47971705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A,8/15/2016,6,5,3,0,1,1,1,M,8.68,0.25,1.5,9.8,0.125,24.1,124.4,0.9,6.357723577,0.549893716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B,8/15/2016,6,5,4,0,1,1,1,M,8.59,0.25,0.5,16.7,0.125,24.1,125.8,0.7,4.643902439,0.499937263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C,8/15/2016,6,5,4,1,0,1,2,D,8.52,0.25,0.5,14.9,0.125,24,128.5,0.9,4.975609756,0.190515239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5D,8/15/2016,6,5,4,0,0,0,5,O,8.34,0.25,0.5,10.7,0.125,24.2,105.7,1,3.198606272,0.232440219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A,8/22/2016,7,1,1,1,0,1,2,D,8.31,0.25,1.7,5.3,0.125,20.8,105.6,0.4,0.559756098,0.311494964,13.60680513,351.0436203,172.5,0,57.5,0,0,115,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774.654632,0,79488,0,0,41434.8425,79488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41434.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774.654632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1B,8/22/2016,7,1,1,0,0,1,4,C,8.9,0.25,1.5,11.8,0.125,20.3,101,2.3,14.7195122,0.163578021,11.27735303,521.0397705,10982.5,0,747.5,632.5,402.5,5002.5,690,0,0,0,0,0,0,0,402.5,0,0,0,402.5,0,57.5,0,0,0,0,0,0,0,0,3277.5,862.5,0,0,0,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10982.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,176653.0116,0,958387.9361,3297646.2,388451.6484,3659214.528,953856,0,0,0,0,0,0,0,1148953.654,0,0,0,388451.6484,0,4531.935898,0,0,0,0,0,0,0,0,1180893.011,1298538.368,0,0,0,0,0,0,0,0,3297646.2,0,0,0,0,0,0,0,0,0,0,0,0,0,176653.0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30829.49591,0,0,0,5,2
1C,8/22/2016,7,1,2,0,0,1,4,C,8.83,0.25,0.5,14.8,0.125,19.9,120.3,2.5,9.66097561,0.218907023,12.49805507,553.6114743,65435,0,230,920,632.5,6727.5,115,0,0,0,0,0,0,0,0,0,0,0,517.5,0,115,0,0,0,0,0,0,115,0,6727.5,0,0,0,0,0,0,0,0,0,920,0,0,1150,0,0,0,0,0,0,0,0,0,0,57500,0,0,0,0,0,0,6785,0,0,0,0,0,0,0,0,0,0,0,0,0,1139517.479,0,168039.8718,4796576.291,522883.6653,2423938.286,158976,0,0,0,0,0,0,0,0,0,0,0,499437.8337,0,9063.871798,0,0,0,0,0,0,23445.83164,0,2423938.286,0,0,0,0,0,0,0,0,0,4796576.291,0,0,62314.11862,0,0,0,0,0,0,0,0,0,0,924884.8774,0,0,0,0,0,0,152318.4835,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,8/22/2016,7,1,1,0,0,0,5,O,8.24,0.25,0.5,7.9,0.125,19.1,93.4,0.7,3.282520325,0.203284255,11.27999167,427.008608,2415,0,1782.5,0,57.5,1092.5,1322.5,0,0,0,0,172.5,0,0,0,0,0,0,57.5,345,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,54215.05347,0,2214393.276,0,55493.09263,369953.9509,1828224,0,0,0,0,38475.21089,0,0,0,0,0,0,55493.09263,280656.316,0,0,0,0,0,0,0,0,0,331478.74,0,0,0,0,0,105512.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54215.05347,0,0,0,0,0,0,0,0,0,0,0,5,4
2A,8/22/2016,7,2,1,1,1,1,3,MD,8.72,0.25,0.5,12.3,0.125,19.9,117.5,2.3,,0.042108728,12.257291,498.2158869,23000,0,0,1437.5,0,805,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,1437.5,0,0,0,0,0,0,0,0,345,0,0,0,0,22252.5,0,0,0,0,0,0,747.5,0,0,0,0,0,0,0,0,0,0,0,0,0,374711.2974,0,0,7494650.453,0,204461.2169,0,0,0,0,0,12825.0703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145021.9488,0,0,0,0,0,0,0,0,0,7494650.453,0,0,0,0,0,0,0,0,46614.19781,0,0,0,0,357930.4475,0,0,0,0,0,0,16780.84988,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,8/22/2016,7,2,3,0,0,1,4,C,8.42,0.25,0.5,12.2,0.125,20.3,109.2,0.7,3.648780488,0.454005899,8.791430515,242.6366586,2242.5,0,920,230,115,402.5,172.5,0,0,0,0,0,0,0,0,0,0,0,115,0,747.5,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,50342.54965,0,297379.1667,1199144.073,110986.1852,145021.9488,238464,0,0,0,0,0,0,0,0,0,0,0,110986.1852,0,58915.16666,0,0,0,0,0,0,0,0,145021.9488,0,0,0,0,0,0,0,0,0,1199144.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50342.54965,0,0,0,0,0,0,0,0,0,0,0,0,71
2C,8/22/2016,7,2,2,1,1,1,3,MD,8.84,0.25,1.4,13.3,0.125,20.2,118.4,1.6,12.14878049,0.147430314,8.895922258,334.1321967,34155,0,402.5,1322.5,172.5,2070,345,0,0,0,0,0,0,0,0,0,0,0,172.5,0,57.5,0,0,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,1322.5,0,0,0,0,0,0,0,0,690,0,0,0,0,34155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549381.6171,0,481459.9359,6895078.42,166479.2779,590446.5056,476928,0,0,0,0,0,0,0,0,0,0,0,166479.2779,0,4531.935898,0,0,0,0,0,0,0,0,497218.11,0,0,0,0,0,0,0,0,0,6895078.42,0,0,0,0,0,0,0,0,93228.39562,0,0,0,0,549381.6171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2D,8/22/2016,7,2,1,0,1,1,1,M,8.87,0.25,0.5,4,0.125,20.1,121.4,1.1,10.65609756,0.321647218,11.38834834,366.9551396,172.5,1265,172.5,977.5,287.5,977.5,57.5,0,0,0,57.5,115,0,0,0,0,0,0,0,0,115,0,0,1265,0,0,0,287.5,0,805,0,0,0,0,0,0,0,0,0,977.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438.661297,83085.49147,88551.8718,5096362.309,58614.57908,337891.2751,79488,0,0,0,22197.23705,25650.14059,0,0,0,0,0,0,0,0,9063.871798,0,0,83085.49147,0,0,0,58614.57908,0,290043.8975,0,0,0,0,0,0,0,0,0,5096362.309,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2438.661297,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3A,8/22/2016,7,3,4,0,0,1,4,C,8.48,0.58,0.5,10.3,0.461,19.6,107.9,1.8,9.287804878,0.109558065,10.11892795,437.6082909,49450,632.5,115,1150,0,862.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,632.5,0,0,0,0,0,632.5,0,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,230,0,0,0,0,0,49450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795400.9943,41542.74573,84019.93587,5995720.362,0,254528.3182,79488,0,0,0,0,0,0,0,0,0,0,0,0,0,4531.935898,0,0,41542.74573,0,0,0,0,0,227891.6338,0,0,0,0,0,0,0,0,0,5995720.362,0,0,0,0,0,0,0,26636.68446,0,0,0,0,0,795400.9943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3B,8/22/2016,7,3,2,0,0,0,5,O,8.26,0.25,0.5,3.5,0.125,19.8,99.6,0.3,0.783197832,0.356870547,12.45143218,654.7480713,1897.5,0,517.5,57.5,460,287.5,345,0,0,0,0,0,0,0,0,0,0,0,460,0,115,57.5,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,57.5,0,0,575,0,0,0,0,0,0,0,0,0,0,747.5,0,0,0,0,0,0,460,115,0,0,0,0,0,0,0,0,0,0,0,0,81167.98112,0,517080.5118,299786.0182,443944.741,103587.1062,476928,0,0,0,0,0,0,0,0,0,0,0,443944.741,0,9063.871798,31088.64,0,0,0,0,0,0,0,103587.1062,0,0,0,0,0,0,0,0,0,299786.0182,0,0,31157.0593,0,0,0,0,0,0,0,0,0,0,12023.5034,0,0,0,0,0,0,10326.67685,27660.74157,0,0,0,0,0,0,0,0,0,0,2,3
3C,8/22/2016,7,3,3,0,0,0,5,O,8.33,0.25,0.5,6.8,0.125,20,108.7,0.8,3.648780488,0.250213566,11.53800618,477.5363974,805,0,287.5,57.5,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,18071.68449,0,397440,299786.0182,0,0,397440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18071.68449,0,0,0,0,0,0,0,0,0,0,0,0,9
3D,8/22/2016,7,3,2,0,1,1,1,M,8.65,0.25,5.6,5.6,0.125,20.4,111.7,0.2,0.746341463,0.623104243,17.74043209,460.0651627,115,0,57.5,0,230,460,57.5,0,0,0,0,230,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,2581.669213,0,79488,0,221972.3705,134169.9662,79488,0,0,0,0,51300.28119,0,0,0,0,0,0,221972.3705,0,0,0,0,0,0,0,0,0,0,82869.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581.669213,0,0,0,0,0,0,0,0,0,0,0,30,18
4A,8/22/2016,7,4,2,1,0,1,2,D,8.3,0.25,0.5,5.7,0.125,19.9,109.1,0.7,1.589430894,0.337100631,11.11898116,506.6941198,1322.5,0,287.5,57.5,0,517.5,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,172.5,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,23102.10082,0,397440,299786.0182,0,384012.201,397440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124304.5275,259707.6735,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,16647.92779,0,0,0,0,0,0,6454.173031,0,0,0,0,0,0,0,0,0,0,0,11,1
4B,8/22/2016,7,4,3,1,1,1,3,MD,9.05,0.25,1.1,13.2,0.125,20.9,132.9,1.9,20.73170732,0.299994089,13.31701405,615.7518909,287.5,0,1092.5,1380,230,4082.5,920,0,0,0,0,345,0,0,57.5,0,0,0,230,115,0,0,0,0,0,0,0,0,57.5,2587.5,920,0,0,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,57.5,0,0,115,0,0,0,0,0,0,0,4624.424386,0,1439548.906,7194864.439,221972.3705,2614767.085,1271808,0,0,0,0,76950.42179,0,0,164136.2362,0,0,0,221972.3705,93552.10532,0,0,0,0,0,0,0,0,2096.405722,932283.9562,1385107.592,0,0,0,0,0,0,0,0,7194864.439,0,0,0,0,0,0,0,0,0,0,0,0,0,4624.424386,0,0,0,0,0,0,0,0,0,74188.8,0,0,54192.47328,0,0,0,0,0,1,3
4C,8/22/2016,7,4,3,1,0,1,2,D,8.47,0.25,0.5,10.5,0.125,19.8,111.9,0.6,3.178861789,0.430249968,9.670916077,357.0900499,747.5,0,115,57.5,57.5,2012.5,115,0,0,0,0,0,0,0,172.5,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,1667.5,115,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,747.5,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,12023.5034,0,158976,299786.0182,55493.09263,1293448.61,158976,0,0,0,0,0,0,0,492408.7086,0,0,0,55493.09263,0,0,0,0,0,0,0,0,0,0,600805.2163,173138.449,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,12023.5034,0,0,0,0,0,0,0,0,0,0,0,0,27096.23664,0,0,0,0,0,0,84
4D,8/22/2016,7,4,4,1,1,1,3,MD,8.72,0.25,0.5,8.9,0.26,20.1,123.5,1.2,10.03414634,0.280338676,17.72801606,954.7447363,2242.5,0,805,230,0,1437.5,172.5,0,0,0,0,115,0,0,57.5,0,0,0,0,230,402.5,0,0,0,0,0,0,0,0,1207.5,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,747.5,0,0,0,0,0,0,1495,0,0,0,0,0,57.5,0,0,0,0,0,0,0,45585.20317,0,457291.762,1199144.073,0,651948.4596,238464,0,0,0,0,25650.14059,0,0,164136.2362,0,0,0,0,187104.2106,31723.55129,0,0,0,0,0,0,0,0,435065.8462,0,0,0,0,0,0,0,0,0,1199144.073,0,0,0,0,0,0,0,0,0,0,0,0,0,12023.5034,0,0,0,0,0,0,33561.69977,0,0,0,0,0,27096.23664,0,0,0,0,0,0,3
5A,8/22/2016,7,5,3,0,1,1,1,M,8.56,0.25,0.5,9.7,0.125,20.3,100.4,0.7,1.806620209,0.605586137,7.590281549,352.6393956,1897.5,0,1265,0,57.5,1667.5,747.5,0,0,0,0,230,0,0,0,0,0,0,57.5,517.5,0,0,230,0,0,0,0,0,0,115,0,0,0,0,0,0,517.5,345,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,230,0,0,0,0,0,0,1667.5,0,0,0,0,0,0,0,0,0,0,0,0,0,41133.7431,0,1454328.474,0,55493.09263,923759.6007,1033344,0,0,0,0,51300.28119,0,0,0,0,0,0,55493.09263,420984.474,0,0,41542.74573,0,0,0,0,0,0,41434.8425,0,0,0,0,0,0,359595.2402,398810.359,0,0,0,0,0,0,0,0,0,0,31076.13188,0,0,0,0,3699.539509,0,0,0,0,0,0,37434.20359,0,0,0,0,0,0,0,0,0,0,0,6,2
5B,8/22/2016,7,5,4,0,1,1,1,M,8.47,0.25,0.5,12.3,0.125,20.6,106.7,1,4.768292683,0.277237646,7.675306122,268.3777698,575,0,747.5,0,115,1782.5,402.5,0,0,0,0,57.5,0,0,57.5,0,0,0,115,345,0,0,0,0,0,0,0,0,0,1265,230,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,517.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12542.39633,0,837072.3161,0,110986.1852,1098886.552,556416,0,0,0,0,12825.0703,0,0,164136.2362,0,0,0,110986.1852,280656.316,0,0,0,0,0,0,0,0,0,455783.2675,346276.898,0,0,0,0,0,119865.0801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.8848774,0,0,0,0,0,0,11617.51146,0,0,0,0,0,0,0,0,0,0,0,6,0
5C,8/22/2016,7,5,4,1,0,1,2,D,8.56,0.25,1.3,13.3,0.125,20.4,115.1,1.5,8.375609756,0.192136996,8.614971178,317.9382836,977.5,0,690,57.5,0,287.5,230,0,0,0,0,0,0,0,57.5,0,0,0,0,0,402.5,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,977.5,0,0,0,0,0,0,0,0,0,57.5,0,0,0,57.5,0,0,0,0,0,0,15723.04291,0,423864.3513,299786.0182,0,232189.4581,317952,0,0,0,0,0,0,0,164136.2362,0,0,0,0,0,31723.55129,0,0,0,0,0,0,0,0,62152.26376,0,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,15723.04291,0,0,0,0,0,0,0,0,0,74188.8,0,0,0,5900.9582,0,0,0,0,2,0
5D,8/22/2016,7,5,4,0,0,0,5,O,8.45,0.25,0.5,13.6,0.125,20.7,100.6,1.3,5.567944251,0.29266463,9.420580144,316.1185837,0,0,517.5,0,172.5,1150,287.5,0,0,0,0,172.5,0,0,172.5,0,57.5,0,115,230,0,0,0,0,0,0,0,57.5,0,402.5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,584544.2105,0,122709.1011,1019088.256,397440,0,0,0,0,38475.21089,0,0,492408.7086,0,61658.99179,0,110986.1852,187104.2106,0,0,0,0,0,0,0,11722.91582,0,145021.9488,173138.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108384.9465,0,0,0,0,0,0,4
1A,8/29/2016,8,1,1,1,0,1,2,D,8.61,0.25,2.2,20.3,0.125,25.3,116.1,1,12.35609756,0.205546909,,,57327.5,0,1955,57.5,3967.5,2127.5,0,0,0,0,0,0,172.5,0,0,0,0,0,3967.5,115,0,0,0,0,0,0,0,0,0,1265,575,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,56350,0,0,0,0,0,0,805,0,0,1840,0,0,57.5,0,230,0,0,0,0,0,934447.6208,0,2467593.706,299786.0182,3829023.392,1363986.497,0,0,0,0,0,0,9988.756676,0,0,0,0,0,3829023.392,93552.10532,0,0,0,0,0,0,0,0,0,455783.2675,865692.2453,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,906387.1798,0,0,0,0,0,0,18071.68449,0,0,2374041.6,0,0,27096.23664,0,15414.74795,0,0,0,,
1B,8/29/2016,8,1,1,0,0,1,4,C,9.09,0.25,1,31.3,0.125,25.1,152.5,2.9,31.57598499,0.154519156,,,130295,0,2127.5,1150,287.5,15525,0,0,0,0,0,0,115,0,1495,862.5,0,0,287.5,460,0,0,0,0,0,0,0,0,0,10982.5,1380,0,0,0,0,0,0,0,0,977.5,0,0,0,0,0,0,0,0,0,0,0,0,0,128800,0,0,0,0,0,0,1380,0,0,1667.5,172.5,0,0,0,805,0,0,0,0,0,2109381.327,0,2525683.621,5199949.416,277465.4632,10524742.87,0,0,0,0,0,0,6659.171117,0,4267542.142,168560.2689,0,0,277465.4632,374208.4213,0,0,0,0,0,0,0,0,0,3957027.459,2077661.388,0,0,0,0,0,0,0,0,5096362.309,0,0,0,0,0,0,0,0,0,0,0,0,0,2071742.125,0,0,0,0,0,0,30980.03056,0,0,2151475.2,103587.1062,0,0,0,53951.61784,0,0,0,,
